
161,ชโย กรุ๊ป จำกัด (มหาชน),0107560000214,612407391,40.93,138511406,41.37,6865754694,24.23,625458089.5,2571796399,CHAYO GROUP PUBLIC COMPANY LIMITED,วันที่ 11 พ.ค. 2560,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
162,ชีวาทัย จำกัด (มหาชน),0107558000181,1885800819,-11.87,-44879717,-136.63,5880415799,-6.01,1825027883,1871071336,CHEWATHAI PUBLIC COMPANY LIMITED,วันที่ 24 เม.ย. 2558,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
163,โรงพยาบาลจุฬารัตน์ จำกัด (มหาชน),0107547000656,5109959613,-17.75,2060188763,-30.83,7062306525,10.44,1100000000,6414595990,CHULARAT HOSPITAL PUBLIC PUBLIC COMPANY LIMITED,วันที่ 15 ก.ค. 2547,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
164,ชิค รีพับบลิค จำกัด (มหาชน),0107560000389,676003980,-9.73,24505290,8.59,1618575451,-4.66,680000000,875838851,CHIC REPUBLIC PUBLIC COMPANY LIMITED,วันที่ 3 ต.ค. 2560,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
165,ช ทวี จำกัด (มหาชน),0107556000027,412505972,-20.53,-553582064,9.68,3311707827,7.84,15685733425,596351568,CHO THAVEE PUBLIC COMPANY LIMITED,วันที่ 2 ม.ค. 2556,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
166,ห้องเย็นโชติวัฒน์หาดใหญ่ จำกัด (มหาชน),0107537002231,2653005671,-15.90,109533063,1.02,2476356165,5.82,75000000,894211533,KIANG HUAT SEA GULL TRADING FROZEN FOOD PUBLIC COMPANY LIMITED,วันที่ 16 มิ.ย. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
167,เชาว์ สตีล อินดัสทรี้ จำกัด (มหาชน),0107552000049,3006202415,213.97,220014920,5379.90,2286415757,-12.67,800000000,785585512,CHOW STEEL INDUSTRIES PUBLIC COMPANY LIMITED,วันที่ 3 มี.ค. 2552,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
168,ชาญอิสสระ ดีเวล็อปเมนท์ จำกัด (มหาชน),0107545000101,564857480,-25.11,-98080150,-206.43,5975424027,38.61,1653223590,1430065552,CHARN ISSARA DEVELOPMENT PUBLIC COMPANY LIMITED,วันที่ 27 มิ.ย. 2545,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
169,ซี.ไอ.กรุ๊ป จำกัด (มหาชน),0107547000133,567693740,-43.67,-43633120,66.55,1154556314,87.26,2465223079.5,808193682,C.I. GROUP PUBLIC COMPANY LIMITED,วันที่ 1 มี.ค. 2547,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
170,ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน),0107537002338,17428125991,32.19,2156582660,-7.24,505400731463,2.78,17411130874,43595614284,CIMB THAI BANK PUBLIC COMPANY LIMITED,วันที่ 24 มิ.ย. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
171,ซิตี้ สตีล จำกัด (มหาชน),0107547000931,11253105,-97.44,-4716801,-101.12,1251637339,-0.53,300000000,1247685035,CITY STEEL PUBLIC COMPANY LIMITED,วันที่ 5 ต.ค. 2547,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
172,ซีวิลเอนจีเนียริง จำกัด (มหาชน),0107563000169,2554270588,-23.95,22128231,-51.80,4422823857,-9.08,700000000,1501472479,CIVIL ENGINEERING PUBLIC COMPANY LIMITED,วันที่ 29 มิ.ย. 2563,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
173,ช.การช่าง จำกัด (มหาชน),0107537002575,16716497595,18.50,50896341,147.44,88062129398,11.35,1693899970,20777601259,CH. KARNCHANG PUBLIC COMPANY LIMITED,วันที่ 10 ต.ค. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
174,ซีเค พาวเวอร์ จำกัด (มหาชน),0107556000167,1347994535,1.04,435347658,-0.90,35854968656,-2.02,9240000000,23591337465,CK POWER PUBLIC COMPANY LIMITED,วันที่ 6 ก.พ. 2556,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
176,เคมีแมน จำกัด (มหาชน),0107560000346,2924023252,-1.47,209030170,-28.77,6476374561,-4.54,1000000000,2780892339,CHEMEMAN PUBLIC COMPANY LIMITED,วันที่ 10 ส.ค. 2560,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
177,เจ้าพระยามหานคร จำกัด (มหาชน),0107552000162,436635088,-55.04,-127358298,-234.81,6194712875,15.89,1102373731,2229682814,CHAOPRAYAMAHANAKORN PUBLIC COMPANY LIMITED,วันที่ 2 ก.ย. 2552,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
178,ซีเอ็มโอ จำกัด (มหาชน),0107546000458,672228070,24.58,-255047728,-2142.25,690188548,-8.77,637361310,116518717,C M O PUBLIC COMPANY LIMITED,วันที่ 29 ธ.ค. 2546,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
179,เชียงใหม่รามธุรกิจการแพทย์ จำกัด (มหาชน),0107536001621,1953430799,-0.78,182324531,-11.30,4210279562,-2.55,407112500,1875142525,CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY LIMITED,วันที่ 23 ธ.ค. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
180,คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน),0107535000281,7131324569,35.05,72346314,139.36,6412761256,8.83,1102904144,1763905141,CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY LIMITED,วันที่ 26 พ.ย. 2535,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
182,สาลี่ คัลเล่อร์ จำกัด (มหาชน),0107551000282,1095679937,-15.72,38831695,-39.30,1457488372,-1.96,647861080,824226940,SALEE COLOUR PUBLIC COMPANY LIMITED,วันที่ 17 ก.ย. 2551,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
183,คอมเซเว่น จำกัด (มหาชน),0107557000462,67213637284,8.51,2676169960,-34.11,20844065697,15.79,600000000,7079764090,COM7 PUBLIC COMPANY LIMITED,วันที่ 9 ธ.ค. 2557,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
184,โคแมนชี่ อินเตอร์เนชั่นแนล จำกัด (มหาชน),0107559000273,19261433,-74.18,-5229572,92.80,350515482,-5.13,107200000,329904874,COMANCHE INTERNATIONAL PUBLIC COMPANY LIMITED,วันที่ 10 มิ.ย. 2559,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
185,ซีพี ออลล์ จำกัด (มหาชน),0107542000011,429495904740,12.29,15403062720,35.11,444653288731,3.11,8986296048,84217718045,CP ALL PUBLIC COMPANY LIMITED,วันที่ 12 มี.ค. 2542,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
186,ซีแพนเนล จำกัด (มหาชน),0107564000049,436823322,0.66,62705830,-7.70,932024628,35.72,197000000,505500154,C PANEL PUBLIC COMPANY LIMITED,วันที่ 29 ม.ค. 2564,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
187,ซีพี แอ็กซ์ตร้า จำกัด (มหาชน),0107537000521,250824904227,7.64,7472948039,0.10,363747320519,7.79,5290161750,288116281525,CP AXTRA PUBLIC COMPANY LIMITED,วันที่ 11 ก.พ. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
188,เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),0107537000246,38336162000,-33.60,148609000,-99.00,306808198000,4.94,9093856518,151036937000,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,วันที่ 27 ม.ค. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
189,คาสเซ่อร์พีคโฮลดิ้งส์ จำกัด (มหาชน),0107537001056,902577002,-36.73,121578932,-48.61,1300177014,11.03,400000000,856687224,CASTLE PEAK HOLDINGS PUBLIC COMPANY LIMITED,วันที่ 1 เม.ย. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
190,ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),0107536001184,5331465880,-33.88,12351752,-90.76,3821626140,-11.01,775424053,2105782211,CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,วันที่ 14 ต.ค. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
191,ซีพีแอล กรุ๊ป จำกัด (มหาชน),0107537000289,1866611036,-22.35,-166711531,-814.60,2509947050,0.92,439844340,825969593,CPL GROUP PUBLIC COMPANY LIMITED,วันที่ 27 ม.ค. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
192,เซ็นทรัลพัฒนา จำกัด (มหาชน),0107537002443,27914778006,22.82,7587962717,43.00,210837240239,0.44,2244000000,68756848883,CENTRAL PATTANA PUBLIC COMPANY LIMITED,วันที่ 19 ก.ค. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
